State,age,gender,district_of_residence,district_inhabitant_count,district_cities_count,district_urban_inhabitant_ratio,district_average_salary,district_mun_inhabitant_count_499,district_mun_inhabitant_count_1999,district_mun_inhabitant_count_9999,district_mun_inhabitant_count_infinite,district_enterprenuer_per_1000,district_crimes_count,district_unemployment_rate,owns_account,tenure,f_statement_issuance,branch_location,orders_count,insurance_payment,household_payment,lease_payment,loan_payment,has_credit_card,transaction_count,withdraw_transactions,credit_transactions,credit_card_withdrawals,credit_in_cash,collections_from_other_banks,cash_withdrawals,remittance_to_other_banks,has_had_loan,max_loan_amount,max_loan_duration,loan_pay_success,loan_pay_failure,in_loan_debt,year_of_last_transaction,year_of_last_credit
0,49.0,0,18,161954.0,8.0,48.0,8720.0,21.0,37.0,20.0,3.0,116.0,7380.0,4.115,0,4.0,1,18,2.0,0,1,0,0,0,254.0,170.0,84.0,0.0,45.0,0.0,101.0,69.0,0,0.0,0.0,0,0,0,98.0,98.0
1,18.0,1,66,128118.0,8.0,85.3,9317.0,9.0,16.0,6.0,3.0,97.0,13821.0,6.78,1,6.0,1,26,0.0,0,0,0,0,0,361.0,178.0,183.0,0.0,112.0,0.0,178.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
0,25.0,0,4,387570.0,1.0,100.0,9897.0,0.0,0.0,0.0,1.0,140.0,37417.0,1.78,1,3.0,1,4,2.0,0,1,1,0,0,156.0,97.0,59.0,0.0,31.0,0.0,74.0,23.0,0,0.0,0.0,0,0,0,98.0,98.0
0,57.0,0,62,127369.0,7.0,51.2,8369.0,31.0,32.0,13.0,2.0,107.0,6543.0,5.305,1,4.0,1,62,1.0,0,1,0,0,0,186.0,107.0,79.0,0.0,1.0,39.0,72.0,35.0,0,0.0,0.0,0,0,0,98.0,98.0
0,81.0,0,64,103347.0,7.0,67.0,9104.0,87.0,16.0,7.0,1.0,123.0,4653.0,1.79,1,2.0,1,64,2.0,0,1,0,0,0,106.0,67.0,39.0,0.0,1.0,20.0,37.0,30.0,0,0.0,0.0,0,0,0,98.0,98.0
0,80.0,1,64,103347.0,7.0,67.0,9104.0,87.0,16.0,7.0,1.0,123.0,4653.0,1.79,0,2.0,1,64,2.0,0,1,0,0,0,106.0,67.0,39.0,0.0,1.0,20.0,37.0,30.0,0,0.0,0.0,0,0,0,98.0,98.0
0,65.0,1,62,127369.0,7.0,51.2,8369.0,31.0,32.0,13.0,2.0,107.0,6543.0,5.305,1,2.0,1,62,1.0,0,1,0,0,0,75.0,44.0,31.0,0.0,1.0,16.0,33.0,11.0,0,0.0,0.0,0,0,0,98.0,98.0
0,68.0,0,62,127369.0,7.0,51.2,8369.0,31.0,32.0,13.0,2.0,107.0,6543.0,5.305,0,2.0,1,62,1.0,0,1,0,0,0,75.0,44.0,31.0,0.0,1.0,16.0,33.0,11.0,0,0.0,0.0,0,0,0,98.0,98.0
0,57.0,1,44,162580.0,6.0,72.8,9538.0,83.0,26.0,5.0,1.0,111.0,11489.0,1.66,1,3.0,1,44,1.0,0,1,0,0,1,124.0,72.0,52.0,6.0,27.0,0.0,46.0,20.0,0,0.0,0.0,0,0,0,98.0,98.0
1,20.0,1,38,112709.0,10.0,73.5,8369.0,48.0,20.0,7.0,3.0,117.0,5472.0,2.05,1,6.0,1,26,1.0,0,1,0,0,0,365.0,236.0,129.0,0.0,66.0,0.0,177.0,59.0,0,0.0,0.0,0,0,0,98.0,98.0
0,47.0,0,54,107870.0,6.0,58.0,8754.0,84.0,29.0,6.0,1.0,137.0,7672.0,4.07,1,2.0,1,54,0.0,0,0,0,0,0,60.0,28.0,32.0,0.0,17.0,0.0,28.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
0,30.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,2.0,1,17,1.0,0,1,0,0,0,54.0,21.0,33.0,0.0,16.0,0.0,19.0,2.0,0,0.0,0.0,0,0,0,98.0,98.0
0,26.0,1,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,0,2.0,1,17,1.0,0,1,0,0,0,54.0,21.0,33.0,0.0,16.0,0.0,19.0,2.0,0,0.0,0.0,0,0,0,98.0,98.0
1,60.0,0,19,161854.0,6.0,76.3,9425.0,73.0,21.0,6.0,1.0,125.0,7976.0,2.11,1,6.0,2,19,0.0,0,0,0,0,0,328.0,172.0,156.0,0.0,96.0,0.0,172.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
0,60.0,0,64,103347.0,7.0,67.0,9104.0,87.0,16.0,7.0,1.0,123.0,4653.0,1.79,1,4.0,1,64,1.0,0,0,0,1,0,303.0,151.0,152.0,0.0,17.0,45.0,143.0,8.0,1,30276.0,12.0,0,1,0,98.0,98.0
0,30.0,0,43,323870.0,1.0,100.0,10673.0,0.0,0.0,0.0,1.0,100.0,37129.0,5.095,1,3.0,1,43,1.0,0,1,0,0,0,116.0,63.0,53.0,0.0,1.0,28.0,39.0,24.0,0,0.0,0.0,0,0,0,98.0,98.0
0,33.0,0,4,387570.0,1.0,100.0,9897.0,0.0,0.0,0.0,1.0,140.0,37417.0,1.78,1,2.0,1,4,1.0,0,1,0,0,0,62.0,28.0,34.0,0.0,21.0,0.0,19.0,9.0,0,0.0,0.0,0,0,0,98.0,98.0
1,54.0,1,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,5.0,1,17,1.0,0,1,0,0,0,310.0,192.0,118.0,0.0,61.0,0.0,140.0,52.0,0,0.0,0.0,0,0,0,98.0,98.0
1,48.0,0,60,94812.0,10.0,81.8,9650.0,15.0,13.0,8.0,2.0,100.0,5789.0,3.525,1,6.0,1,60,1.0,0,1,0,0,0,370.0,233.0,137.0,0.0,70.0,0.0,171.0,62.0,0,0.0,0.0,0,0,0,98.0,98.0
0,42.0,0,43,323870.0,1.0,100.0,10673.0,0.0,0.0,0.0,1.0,100.0,37129.0,5.095,1,3.0,1,43,2.0,0,1,0,0,0,140.0,88.0,52.0,0.0,27.0,0.0,46.0,42.0,0,0.0,0.0,0,0,0,98.0,98.0
1,37.0,1,15,228848.0,6.0,57.2,9893.0,15.0,40.0,18.0,2.0,96.0,11510.0,4.40499999999999,1,3.0,1,15,4.0,1,1,0,1,0,274.0,192.0,82.0,0.0,54.0,0.0,99.0,93.0,1,30276.0,12.0,1,0,0,98.0,98.0
1,19.0,1,71,139012.0,10.0,61.9,8363.0,59.0,41.0,8.0,3.0,108.0,5363.0,3.005,1,6.0,1,71,1.0,0,1,0,0,0,351.0,218.0,133.0,0.0,3.0,65.0,158.0,60.0,0,0.0,0.0,0,0,0,98.0,98.0
1,51.0,0,42,182027.0,7.0,56.4,8746.0,17.0,49.0,12.0,2.0,90.0,8788.0,3.535,1,6.0,1,42,1.0,0,1,0,0,0,352.0,217.0,135.0,0.0,72.0,0.0,159.0,58.0,0,0.0,0.0,0,0,0,98.0,98.0
1,21.0,0,35,94725.0,6.0,63.4,9920.0,38.0,28.0,1.0,3.0,130.0,9135.0,2.565,1,5.0,1,35,3.0,1,1,0,0,0,367.0,267.0,100.0,0.0,51.0,0.0,133.0,134.0,0,0.0,0.0,0,0,0,98.0,98.0
1,29.0,1,35,94725.0,6.0,63.4,9920.0,38.0,28.0,1.0,3.0,130.0,9135.0,2.565,0,5.0,1,35,3.0,1,1,0,0,0,367.0,267.0,100.0,0.0,51.0,0.0,133.0,134.0,0,0.0,0.0,0,0,0,98.0,98.0
1,26.0,0,32,159617.0,9.0,85.2,9198.0,29.0,19.0,8.0,1.0,131.0,11928.0,3.805,1,4.0,1,32,1.0,0,0,1,0,0,281.0,151.0,130.0,0.0,86.0,0.0,151.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,31.0,1,15,228848.0,6.0,57.2,9893.0,15.0,40.0,18.0,2.0,96.0,11510.0,4.40499999999999,1,5.0,1,15,1.0,0,1,0,0,0,383.0,219.0,164.0,0.0,109.0,0.0,166.0,53.0,0,0.0,0.0,0,0,0,98.0,98.0
0,42.0,0,29,95616.0,6.0,51.4,9307.0,65.0,30.0,4.0,1.0,118.0,5656.0,4.14,1,4.0,1,29,0.0,0,0,0,0,0,180.0,98.0,82.0,0.0,42.0,0.0,98.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,31.0,1,14,58400.0,6.0,52.4,8620.0,65.0,16.0,4.0,1.0,100.0,2206.0,1.175,1,6.0,1,14,1.0,0,1,0,0,1,344.0,213.0,131.0,22.0,67.0,0.0,132.0,59.0,0,0.0,0.0,0,0,0,98.0,98.0
1,64.0,1,15,228848.0,6.0,57.2,9893.0,15.0,40.0,18.0,2.0,96.0,11510.0,4.40499999999999,1,6.0,2,6,3.0,0,1,1,0,1,409.0,282.0,127.0,1.0,1.0,63.0,164.0,117.0,0,0.0,0.0,0,0,0,98.0,98.0
1,79.0,1,53,138032.0,5.0,64.6,8819.0,67.0,30.0,4.0,2.0,99.0,8568.0,5.52,1,6.0,1,53,2.0,0,1,0,0,0,379.0,252.0,127.0,0.0,1.0,65.0,130.0,122.0,0,0.0,0.0,0,0,0,98.0,98.0
1,22.0,0,34,85852.0,4.0,59.8,8965.0,41.0,23.0,4.0,2.0,104.0,5475.0,7.655,1,6.0,1,17,1.0,0,1,0,0,0,388.0,254.0,134.0,0.0,68.0,0.0,192.0,62.0,0,0.0,0.0,0,0,0,98.0,98.0
0,47.0,1,61,70646.0,4.0,58.4,8547.0,94.0,14.0,3.0,1.0,120.0,3105.0,3.145,1,2.0,1,61,4.0,1,1,0,1,0,130.0,94.0,36.0,0.0,19.0,0.0,51.0,43.0,1,318480.0,60.0,0,0,1,98.0,98.0
0,59.0,0,50,51428.0,4.0,52.7,8402.0,50.0,11.0,3.0,1.0,120.0,2098.0,3.55499999999999,1,2.0,2,50,4.0,1,1,0,1,0,130.0,82.0,48.0,0.0,14.0,17.0,37.0,45.0,1,110736.0,48.0,0,0,0,98.0,98.0
1,65.0,1,62,127369.0,7.0,51.2,8369.0,31.0,32.0,13.0,2.0,107.0,6543.0,5.305,1,6.0,1,32,2.0,0,1,0,0,0,399.0,275.0,124.0,0.0,1.0,63.0,157.0,118.0,0,0.0,0.0,0,0,0,98.0,98.0
1,59.0,1,24,93931.0,8.0,56.9,8427.0,74.0,21.0,10.0,1.0,107.0,3787.0,1.33,1,6.0,1,75,2.0,0,1,0,0,0,366.0,233.0,133.0,0.0,71.0,0.0,117.0,116.0,0,0.0,0.0,0,0,0,98.0,98.0
0,40.0,0,41,226122.0,4.0,62.6,8994.0,32.0,50.0,7.0,4.0,110.0,18880.0,4.295,1,2.0,1,41,0.0,0,0,0,0,0,71.0,35.0,36.0,0.0,19.0,0.0,35.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
0,21.0,0,37,119895.0,4.0,89.9,10446.0,17.0,4.0,3.0,2.0,90.0,9690.0,8.37,1,3.0,1,37,3.0,1,1,0,0,0,198.0,135.0,63.0,0.0,35.0,0.0,65.0,70.0,0,0.0,0.0,0,0,0,98.0,98.0
1,20.0,0,32,159617.0,9.0,85.2,9198.0,29.0,19.0,8.0,1.0,131.0,11928.0,3.805,1,5.0,1,32,1.0,0,1,0,0,1,321.0,209.0,112.0,35.0,57.0,0.0,124.0,50.0,0,0.0,0.0,0,0,0,98.0,98.0
1,75.0,1,7,105058.0,10.0,81.0,9272.0,32.0,19.0,7.0,2.0,118.0,8845.0,3.01,1,6.0,1,7,1.0,0,1,0,0,0,316.0,185.0,131.0,0.0,1.0,67.0,122.0,63.0,0,0.0,0.0,0,0,0,98.0,98.0
0,22.0,1,75,197099.0,10.0,74.7,9624.0,29.0,41.0,10.0,2.0,145.0,8749.0,1.955,1,2.0,1,75,0.0,0,0,0,0,0,69.0,28.0,41.0,0.0,25.0,0.0,28.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,51.0,0,22,77917.0,5.0,53.5,8390.0,85.0,19.0,6.0,1.0,132.0,4202.0,2.585,1,6.0,1,22,4.0,1,1,0,0,0,565.0,432.0,133.0,0.0,3.0,65.0,190.0,242.0,0,0.0,0.0,0,0,0,98.0,98.0
0,39.0,1,64,103347.0,7.0,67.0,9104.0,87.0,16.0,7.0,1.0,123.0,4653.0,1.79,1,3.0,1,64,2.0,0,1,0,0,1,151.0,99.0,52.0,2.0,27.0,0.0,57.0,40.0,0,0.0,0.0,0,0,0,98.0,98.0
0,38.0,0,64,103347.0,7.0,67.0,9104.0,87.0,16.0,7.0,1.0,123.0,4653.0,1.79,0,3.0,1,64,2.0,0,1,0,0,0,151.0,99.0,52.0,2.0,27.0,0.0,57.0,40.0,0,0.0,0.0,0,0,0,98.0,98.0
0,72.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,2.0,1,17,1.0,0,1,0,0,0,93.0,50.0,43.0,0.0,1.0,21.0,34.0,16.0,0,0.0,0.0,0,0,0,98.0,98.0
1,42.0,1,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,5.0,1,17,2.0,0,1,0,0,0,377.0,260.0,117.0,0.0,61.0,0.0,158.0,102.0,0,0.0,0.0,0,0,0,98.0,98.0
0,19.0,1,6,106054.0,6.0,63.1,8110.0,38.0,25.0,6.0,2.0,109.0,6323.0,6.16,1,3.0,1,6,2.0,0,1,0,0,1,192.0,129.0,63.0,4.0,32.0,0.0,72.0,53.0,0,0.0,0.0,0,0,0,98.0,98.0
0,51.0,0,24,93931.0,8.0,56.9,8427.0,74.0,21.0,10.0,1.0,107.0,3787.0,1.33,1,2.0,1,24,2.0,0,1,0,0,0,144.0,96.0,48.0,0.0,2.0,23.0,58.0,38.0,0,0.0,0.0,0,0,0,98.0,98.0
0,67.0,1,72,148545.0,4.0,53.5,8909.0,8.0,35.0,12.0,3.0,113.0,7050.0,4.785,1,4.0,1,72,1.0,0,1,0,0,0,197.0,110.0,87.0,0.0,1.0,43.0,71.0,39.0,0,0.0,0.0,0,0,0,98.0,98.0
0,40.0,1,27,149893.0,6.0,67.4,9753.0,63.0,29.0,6.0,2.0,109.0,11136.0,4.845,1,4.0,1,27,1.0,0,1,0,0,0,210.0,121.0,89.0,0.0,1.0,44.0,81.0,40.0,0,0.0,0.0,0,0,0,98.0,98.0
0,73.0,1,61,70646.0,4.0,58.4,8547.0,94.0,14.0,3.0,1.0,120.0,3105.0,3.145,1,3.0,1,61,1.0,0,1,0,0,0,150.0,85.0,65.0,0.0,1.0,34.0,56.0,29.0,0,0.0,0.0,0,0,0,98.0,98.0
1,56.0,0,63,102609.0,6.0,52.0,8187.0,75.0,33.0,2.0,3.0,94.0,4257.0,5.14,1,5.0,1,63,1.0,0,1,0,0,0,293.0,175.0,118.0,0.0,63.0,0.0,124.0,51.0,0,0.0,0.0,0,0,0,98.0,98.0
0,48.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,4.0,1,17,1.0,0,1,0,0,0,255.0,168.0,87.0,0.0,44.0,0.0,129.0,39.0,0,0.0,0.0,0,0,0,98.0,98.0
0,67.0,0,57,45714.0,6.0,55.6,8843.0,52.0,10.0,5.0,1.0,113.0,1706.0,3.21,1,3.0,1,57,0.0,0,0,0,0,0,137.0,83.0,54.0,0.0,1.0,28.0,83.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,53.0,1,19,161854.0,6.0,76.3,9425.0,73.0,21.0,6.0,1.0,125.0,7976.0,2.11,1,5.0,1,19,2.0,0,1,0,0,0,385.0,262.0,123.0,0.0,66.0,0.0,156.0,106.0,0,0.0,0.0,0,0,0,98.0,98.0
1,74.0,1,26,285387.0,7.0,89.9,10177.0,0.0,2.0,8.0,5.0,81.0,19986.0,7.18999999999999,1,6.0,1,26,2.0,0,1,0,0,0,339.0,222.0,117.0,0.0,1.0,60.0,111.0,111.0,0,0.0,0.0,0,0,0,98.0,98.0
1,72.0,0,26,285387.0,7.0,89.9,10177.0,0.0,2.0,8.0,5.0,81.0,19986.0,7.18999999999999,0,6.0,1,26,2.0,0,1,0,0,0,339.0,222.0,117.0,0.0,1.0,60.0,111.0,111.0,0,0.0,0.0,0,0,0,98.0,98.0
1,76.0,1,44,162580.0,6.0,72.8,9538.0,83.0,26.0,5.0,1.0,111.0,11489.0,1.66,1,6.0,1,44,1.0,0,1,0,0,0,356.0,221.0,135.0,0.0,1.0,69.0,156.0,65.0,0,0.0,0.0,0,0,0,98.0,98.0
0,75.0,1,14,58400.0,6.0,52.4,8620.0,65.0,16.0,4.0,1.0,100.0,2206.0,1.175,1,3.0,1,14,2.0,0,1,0,0,0,129.0,82.0,47.0,0.0,1.0,25.0,41.0,41.0,0,0.0,0.0,0,0,0,98.0,98.0
0,74.0,0,14,58400.0,6.0,52.4,8620.0,65.0,16.0,4.0,1.0,100.0,2206.0,1.175,0,3.0,1,14,2.0,0,1,0,0,0,129.0,82.0,47.0,0.0,1.0,25.0,41.0,41.0,0,0.0,0.0,0,0,0,98.0,98.0
0,22.0,0,75,197099.0,10.0,74.7,9624.0,29.0,41.0,10.0,2.0,145.0,8749.0,1.955,1,2.0,1,75,0.0,0,0,0,0,0,44.0,14.0,30.0,0.0,11.0,0.0,14.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
0,32.0,0,32,159617.0,9.0,85.2,9198.0,29.0,19.0,8.0,1.0,131.0,11928.0,3.805,1,3.0,1,32,3.0,1,1,0,0,1,181.0,128.0,53.0,12.0,27.0,0.0,50.0,66.0,0,0.0,0.0,0,0,0,98.0,98.0
1,43.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,6.0,0,58,1.0,0,0,1,0,1,316.0,193.0,123.0,5.0,1.0,61.0,188.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,55.0,0,24,93931.0,8.0,56.9,8427.0,74.0,21.0,10.0,1.0,107.0,3787.0,1.33,1,5.0,1,24,3.0,0,1,0,1,0,382.0,280.0,102.0,0.0,2.0,50.0,164.0,116.0,1,165960.0,24.0,1,0,0,98.0,98.0
1,30.0,0,33,114006.0,9.0,62.3,9065.0,71.0,26.0,6.0,2.0,123.0,8313.0,4.925,1,5.0,0,33,4.0,1,1,0,0,1,424.0,326.0,98.0,13.0,2.0,48.0,140.0,173.0,0,0.0,0.0,0,0,0,98.0,98.0
0,20.0,0,75,197099.0,10.0,74.7,9624.0,29.0,41.0,10.0,2.0,145.0,8749.0,1.955,1,3.0,1,75,0.0,0,0,0,0,0,196.0,73.0,123.0,0.0,87.0,0.0,73.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
0,23.0,1,36,112065.0,8.0,69.4,11277.0,95.0,19.0,7.0,1.0,127.0,10166.0,1.345,1,4.0,1,36,1.0,0,1,0,0,0,245.0,144.0,101.0,0.0,55.0,0.0,102.0,42.0,0,0.0,0.0,0,0,0,98.0,98.0
0,20.0,0,36,112065.0,8.0,69.4,11277.0,95.0,19.0,7.0,1.0,127.0,10166.0,1.345,0,4.0,1,36,1.0,0,1,0,0,0,245.0,144.0,101.0,0.0,55.0,0.0,102.0,42.0,0,0.0,0.0,0,0,0,98.0,98.0
1,21.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,5.0,1,17,4.0,1,1,0,0,1,496.0,378.0,118.0,22.0,60.0,0.0,143.0,213.0,0,0.0,0.0,0,0,0,98.0,98.0
1,20.0,1,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,0,5.0,1,17,4.0,1,1,0,0,0,496.0,378.0,118.0,22.0,60.0,0.0,143.0,213.0,0,0.0,0.0,0,0,0,98.0,98.0
0,38.0,1,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,3.0,2,17,3.0,0,1,1,0,0,242.0,150.0,92.0,0.0,61.0,0.0,92.0,58.0,0,0.0,0.0,0,0,0,98.0,98.0
0,30.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,0,3.0,2,17,3.0,0,1,1,0,0,242.0,150.0,92.0,0.0,61.0,0.0,92.0,58.0,0,0.0,0.0,0,0,0,98.0,98.0
1,53.0,0,41,226122.0,4.0,62.6,8994.0,32.0,50.0,7.0,4.0,110.0,18880.0,4.295,1,6.0,1,41,1.0,0,1,0,0,1,366.0,238.0,128.0,47.0,66.0,0.0,133.0,58.0,0,0.0,0.0,0,0,0,98.0,98.0
0,48.0,0,17,1204953.0,1.0,100.0,12541.0,0.0,0.0,0.0,1.0,167.0,184784.0,0.36,1,4.0,1,17,1.0,0,1,0,0,0,215.0,133.0,82.0,0.0,42.0,0.0,97.0,36.0,0,0.0,0.0,0,0,0,98.0,98.0
0,24.0,1,71,139012.0,10.0,61.9,8363.0,59.0,41.0,8.0,3.0,108.0,5363.0,3.005,1,3.0,1,71,1.0,0,1,0,0,0,163.0,90.0,73.0,0.0,42.0,0.0,63.0,27.0,0,0.0,0.0,0,0,0,98.0,98.0
0,59.0,1,73,86513.0,5.0,50.5,8288.0,38.0,36.0,5.0,1.0,110.0,3022.0,4.15499999999999,1,3.0,1,73,1.0,0,0,1,0,0,104.0,52.0,52.0,0.0,2.0,25.0,52.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,33.0,0,43,323870.0,1.0,100.0,10673.0,0.0,0.0,0.0,1.0,100.0,37129.0,5.095,1,6.0,1,43,1.0,0,1,0,0,0,388.0,251.0,137.0,0.0,71.0,0.0,190.0,61.0,0,0.0,0.0,0,0,0,98.0,98.0
0,74.0,1,1,75232.0,5.0,41.7,8980.0,55.0,26.0,4.0,1.0,111.0,5637.0,2.08,1,3.0,1,1,1.0,0,1,0,0,0,104.0,57.0,47.0,0.0,1.0,25.0,36.0,21.0,0,0.0,0.0,0,0,0,98.0,98.0
0,52.0,1,19,161854.0,6.0,76.3,9425.0,73.0,21.0,6.0,1.0,125.0,7976.0,2.11,1,4.0,1,19,1.0,0,1,0,0,0,176.0,101.0,75.0,0.0,1.0,39.0,67.0,34.0,0,0.0,0.0,0,0,0,98.0,98.0
0,47.0,0,19,161854.0,6.0,76.3,9425.0,73.0,21.0,6.0,1.0,125.0,7976.0,2.11,0,4.0,1,19,1.0,0,1,0,0,0,176.0,101.0,75.0,0.0,1.0,39.0,67.0,34.0,0,0.0,0.0,0,0,0,98.0,98.0
0,27.0,1,43,323870.0,1.0,100.0,10673.0,0.0,0.0,0.0,1.0,100.0,37129.0,5.095,1,3.0,1,43,3.0,1,1,0,0,0,217.0,143.0,74.0,0.0,16.0,29.0,70.0,73.0,0,0.0,0.0,0,0,0,98.0,98.0
1,34.0,1,48,170449.0,1.0,100.0,10787.0,0.0,0.0,0.0,1.0,131.0,12302.0,2.865,1,5.0,1,48,0.0,0,0,0,0,0,332.0,188.0,144.0,0.0,88.0,0.0,188.0,0.0,0,0.0,0.0,0,0,0,98.0,98.0
1,26.0,0,13,133777.0,11.0,84.7,8705.0,24.0,17.0,7.0,3.0,116.0,9509.0,6.68,1,6.0,1,48,2.0,0,1,0,0,0,431.0,284.0,147.0,0.0,79.0,0.0,156.0,128.0,0,0.0,0.0,0,0,0,98.0,98.0
1,26.0,1,13,133777.0,11.0,84.7,8705.0,24.0,17.0,7.0,3.0,116.0,9509.0,6.68,0,6.0,1,48,2.0,0,1,0,0,0,431.0,284.0,147.0,0.0,79.0,0.0,156.0,128.0,0,0.0,0.0,0,0,0,98.0,98.0
0,57.0,0,12,105606.0,7.0,53.0,8254.0,77.0,26.0,7.0,2.0,97.0,4491.0,3.275,1,4.0,0,12,2.0,0,1,1,0,0,211.0,118.0,93.0,0.0,57.0,0.0,85.0,33.0,0,0.0,0.0,0,0,0,98.0,98.0
0,56.0,1,15,228848.0,6.0,57.2,9893.0,15.0,40.0,18.0,2.0,96.0,11510.0,4.40499999999999,1,2.0,1,15,2.0,0,1,1,0,0,108.0,54.0,54.0,0.0,33.0,0.0,37.0,17.0,0,0.0,0.0,0,0,0,98.0,98.0
